,Periodo,1.Dólar observado,year,mes,dia
4893,1996-01-01,,1996,01,01
4894,1996-01-02,406.91,1996,01,02
4895,1996-01-03,405.53,1996,01,03
4896,1996-01-04,404.76,1996,01,04
4897,1996-01-05,407.33,1996,01,05
4898,1996-01-06,,1996,01,06
4899,1996-01-07,,1996,01,07
4900,1996-01-08,406.16,1996,01,08
4901,1996-01-09,406.43,1996,01,09
4902,1996-01-10,407.54,1996,01,10
4903,1996-01-11,407.71,1996,01,11
4904,1996-01-12,406.63,1996,01,12
4905,1996-01-13,,1996,01,13
4906,1996-01-14,,1996,01,14
4907,1996-01-15,405.77,1996,01,15
4908,1996-01-16,405.95,1996,01,16
4909,1996-01-17,407.12,1996,01,17
4910,1996-01-18,408.06,1996,01,18
4911,1996-01-19,408.7,1996,01,19
4912,1996-01-20,,1996,01,20
4913,1996-01-21,,1996,01,21
4914,1996-01-22,409.59,1996,01,22
4915,1996-01-23,411.94,1996,01,23
4916,1996-01-24,410.68,1996,01,24
4917,1996-01-25,410.92,1996,01,25
4918,1996-01-26,410.4,1996,01,26
4919,1996-01-27,,1996,01,27
4920,1996-01-28,,1996,01,28
4921,1996-01-29,412.95,1996,01,29
4922,1996-01-30,413.86,1996,01,30
4923,1996-01-31,412.76,1996,01,31
4924,1996-02-01,412.29,1996,02,01
4925,1996-02-02,410.93,1996,02,02
4926,1996-02-03,,1996,02,03
4927,1996-02-04,,1996,02,04
4928,1996-02-05,409.77,1996,02,05
4929,1996-02-06,409.49,1996,02,06
4930,1996-02-07,409.98,1996,02,07
4931,1996-02-08,411.38,1996,02,08
4932,1996-02-09,410.08,1996,02,09
4933,1996-02-10,,1996,02,10
4934,1996-02-11,,1996,02,11
4935,1996-02-12,409.48,1996,02,12
4936,1996-02-13,409.34,1996,02,13
4937,1996-02-14,409.8,1996,02,14
4938,1996-02-15,410.14,1996,02,15
4939,1996-02-16,410.19,1996,02,16
4940,1996-02-17,,1996,02,17
4941,1996-02-18,,1996,02,18
4942,1996-02-19,411.44,1996,02,19
4943,1996-02-20,410.6,1996,02,20
4944,1996-02-21,411.76,1996,02,21
4945,1996-02-22,412.34,1996,02,22
4946,1996-02-23,412.11,1996,02,23
4947,1996-02-24,,1996,02,24
4948,1996-02-25,,1996,02,25
4949,1996-02-26,412.34,1996,02,26
4950,1996-02-27,412.18,1996,02,27
4951,1996-02-28,412.11,1996,02,28
4952,1996-02-29,412.53,1996,02,29
4953,1996-03-01,412.58,1996,03,01
4954,1996-03-02,,1996,03,02
4955,1996-03-03,,1996,03,03
4956,1996-03-04,412.28,1996,03,04
4957,1996-03-05,411.13,1996,03,05
4958,1996-03-06,411.1,1996,03,06
4959,1996-03-07,411.07,1996,03,07
4960,1996-03-08,410.5,1996,03,08
4961,1996-03-09,,1996,03,09
4962,1996-03-10,,1996,03,10
4963,1996-03-11,410.97,1996,03,11
4964,1996-03-12,411.54,1996,03,12
4965,1996-03-13,411.29,1996,03,13
4966,1996-03-14,410.71,1996,03,14
4967,1996-03-15,410.92,1996,03,15
4968,1996-03-16,,1996,03,16
4969,1996-03-17,,1996,03,17
4970,1996-03-18,411.53,1996,03,18
4971,1996-03-19,411.94,1996,03,19
4972,1996-03-20,412.36,1996,03,20
4973,1996-03-21,411.97,1996,03,21
4974,1996-03-22,411.55,1996,03,22
4975,1996-03-23,,1996,03,23
4976,1996-03-24,,1996,03,24
4977,1996-03-25,411.75,1996,03,25
4978,1996-03-26,411.68,1996,03,26
4979,1996-03-27,411.9,1996,03,27
4980,1996-03-28,412.07,1996,03,28
4981,1996-03-29,411.64,1996,03,29
4982,1996-03-30,,1996,03,30
4983,1996-03-31,,1996,03,31
4984,1996-04-01,411.64,1996,04,01
4985,1996-04-02,411.43,1996,04,02
4986,1996-04-03,410.78,1996,04,03
4987,1996-04-04,409.94,1996,04,04
4988,1996-04-05,,1996,04,05
4989,1996-04-06,,1996,04,06
4990,1996-04-07,,1996,04,07
4991,1996-04-08,409.74,1996,04,08
4992,1996-04-09,409.06,1996,04,09
4993,1996-04-10,409.59,1996,04,10
4994,1996-04-11,409.74,1996,04,11
4995,1996-04-12,409.18,1996,04,12
