,Periodo,1.Dólar observado,year,mes,dia
876,1985-01-01,,1985,01,01
877,1985-01-02,128.24,1985,01,02
878,1985-01-03,128.45,1985,01,03
879,1985-01-04,128.49,1985,01,04
880,1985-01-05,,1985,01,05
881,1985-01-06,,1985,01,06
882,1985-01-07,128.54,1985,01,07
883,1985-01-08,128.64,1985,01,08
884,1985-01-09,128.61,1985,01,09
885,1985-01-10,128.71,1985,01,10
886,1985-01-11,128.75,1985,01,11
887,1985-01-12,,1985,01,12
888,1985-01-13,,1985,01,13
889,1985-01-14,128.94,1985,01,14
890,1985-01-15,128.93,1985,01,15
891,1985-01-16,129.01,1985,01,16
892,1985-01-17,129.11,1985,01,17
893,1985-01-18,129.06,1985,01,18
894,1985-01-19,,1985,01,19
895,1985-01-20,,1985,01,20
896,1985-01-21,129.04,1985,01,21
897,1985-01-22,129.16,1985,01,22
898,1985-01-23,129.27,1985,01,23
899,1985-01-24,129.33,1985,01,24
900,1985-01-25,129.42,1985,01,25
901,1985-01-26,,1985,01,26
902,1985-01-27,,1985,01,27
903,1985-01-28,129.4,1985,01,28
904,1985-01-29,129.41,1985,01,29
905,1985-01-30,129.5,1985,01,30
906,1985-01-31,129.57,1985,01,31
907,1985-02-01,129.43,1985,02,01
908,1985-02-02,,1985,02,02
909,1985-02-03,,1985,02,03
910,1985-02-04,129.5,1985,02,04
911,1985-02-05,129.65,1985,02,05
912,1985-02-06,129.76,1985,02,06
913,1985-02-07,129.72,1985,02,07
914,1985-02-08,129.86,1985,02,08
915,1985-02-09,,1985,02,09
916,1985-02-10,,1985,02,10
917,1985-02-11,130.0,1985,02,11
918,1985-02-12,131.42,1985,02,12
919,1985-02-13,131.25,1985,02,13
920,1985-02-14,131.62,1985,02,14
921,1985-02-15,131.88,1985,02,15
922,1985-02-16,,1985,02,16
923,1985-02-17,,1985,02,17
924,1985-02-18,131.96,1985,02,18
925,1985-02-19,132.2,1985,02,19
926,1985-02-20,132.33,1985,02,20
927,1985-02-21,132.31,1985,02,21
928,1985-02-22,132.44,1985,02,22
929,1985-02-23,,1985,02,23
930,1985-02-24,,1985,02,24
931,1985-02-25,132.49,1985,02,25
932,1985-02-26,132.71,1985,02,26
933,1985-02-27,132.85,1985,02,27
934,1985-02-28,143.51,1985,02,28
935,1985-03-01,144.11,1985,03,01
936,1985-03-02,,1985,03,02
937,1985-03-03,,1985,03,03
938,1985-03-04,145.01,1985,03,04
939,1985-03-05,145.31,1985,03,05
940,1985-03-06,145.08,1985,03,06
941,1985-03-07,144.85,1985,03,07
942,1985-03-08,144.71,1985,03,08
943,1985-03-09,,1985,03,09
944,1985-03-10,,1985,03,10
945,1985-03-11,144.6,1985,03,11
946,1985-03-12,144.76,1985,03,12
947,1985-03-13,144.96,1985,03,13
948,1985-03-14,145.27,1985,03,14
949,1985-03-15,145.66,1985,03,15
950,1985-03-16,,1985,03,16
951,1985-03-17,,1985,03,17
952,1985-03-18,145.58,1985,03,18
953,1985-03-19,145.76,1985,03,19
954,1985-03-20,145.82,1985,03,20
955,1985-03-21,146.12,1985,03,21
956,1985-03-22,146.74,1985,03,22
957,1985-03-23,,1985,03,23
958,1985-03-24,,1985,03,24
959,1985-03-25,146.88,1985,03,25
960,1985-03-26,147.0,1985,03,26
961,1985-03-27,147.1,1985,03,27
962,1985-03-28,147.18,1985,03,28
963,1985-03-29,147.08,1985,03,29
964,1985-03-30,,1985,03,30
965,1985-03-31,,1985,03,31
966,1985-04-01,146.99,1985,04,01
967,1985-04-02,147.5,1985,04,02
968,1985-04-03,147.69,1985,04,03
969,1985-04-04,147.68,1985,04,04
970,1985-04-05,,1985,04,05
971,1985-04-06,,1985,04,06
972,1985-04-07,,1985,04,07
973,1985-04-08,148.0,1985,04,08
974,1985-04-09,148.03,1985,04,09
975,1985-04-10,148.1,1985,04,10
976,1985-04-11,148.07,1985,04,11
977,1985-04-12,148.16,1985,04,12
978,1985-04-13,,1985,04,13
979,1985-04-14,,1985,04,14
980,1985-04-15,148.3,1985,04,15
981,1985-04-16,148.59,1985,04,16
982,1985-04-17,148.66,1985,04,17
983,1985-04-18,149.05,1985,04,18
984,1985-04-19,149.37,1985,04,19
985,1985-04-20,,1985,04,20
986,1985-04-21,,1985,04,21
987,1985-04-22,149.57,1985,04,22
988,1985-04-23,149.67,1985,04,23
989,1985-04-24,149.87,1985,04,24
990,1985-04-25,149.91,1985,04,25
991,1985-04-26,150.05,1985,04,26
992,1985-04-27,,1985,04,27
993,1985-04-28,,1985,04,28
994,1985-04-29,150.17,1985,04,29
