,Periodo,1.Dólar observado,year,mes,dia
11103,2013-01-01,,2013,01,01
11104,2013-01-02,479.96,2013,01,02
11105,2013-01-03,475.31,2013,01,03
11106,2013-01-04,473.25,2013,01,04
11107,2013-01-05,,2013,01,05
11108,2013-01-06,,2013,01,06
11109,2013-01-07,473.13,2013,01,07
11110,2013-01-08,471.47,2013,01,08
11111,2013-01-09,471.36,2013,01,09
11112,2013-01-10,471.15,2013,01,10
11113,2013-01-11,470.67,2013,01,11
11114,2013-01-12,,2013,01,12
11115,2013-01-13,,2013,01,13
11116,2013-01-14,471.92,2013,01,14
11117,2013-01-15,472.62,2013,01,15
11118,2013-01-16,474.9,2013,01,16
11119,2013-01-17,475.47,2013,01,17
11120,2013-01-18,473.06,2013,01,18
11121,2013-01-19,,2013,01,19
11122,2013-01-20,,2013,01,20
11123,2013-01-21,471.63,2013,01,21
11124,2013-01-22,472.02,2013,01,22
11125,2013-01-23,471.45,2013,01,23
11126,2013-01-24,470.98,2013,01,24
11127,2013-01-25,470.68,2013,01,25
11128,2013-01-26,,2013,01,26
11129,2013-01-27,,2013,01,27
11130,2013-01-28,470.99,2013,01,28
11131,2013-01-29,472.56,2013,01,29
11132,2013-01-30,472.73,2013,01,30
11133,2013-01-31,471.4,2013,01,31
11134,2013-02-01,471.44,2013,02,01
11135,2013-02-02,,2013,02,02
11136,2013-02-03,,2013,02,03
11137,2013-02-04,471.64,2013,02,04
11138,2013-02-05,472.27,2013,02,05
11139,2013-02-06,472.39,2013,02,06
11140,2013-02-07,473.23,2013,02,07
11141,2013-02-08,472.62,2013,02,08
11142,2013-02-09,,2013,02,09
11143,2013-02-10,,2013,02,10
11144,2013-02-11,472.55,2013,02,11
11145,2013-02-12,472.71,2013,02,12
11146,2013-02-13,472.2,2013,02,13
11147,2013-02-14,470.67,2013,02,14
11148,2013-02-15,470.83,2013,02,15
11149,2013-02-16,,2013,02,16
11150,2013-02-17,,2013,02,17
11151,2013-02-18,470.87,2013,02,18
11152,2013-02-19,471.89,2013,02,19
11153,2013-02-20,472.21,2013,02,20
11154,2013-02-21,472.83,2013,02,21
11155,2013-02-22,473.6,2013,02,22
11156,2013-02-23,,2013,02,23
11157,2013-02-24,,2013,02,24
11158,2013-02-25,473.18,2013,02,25
11159,2013-02-26,473.02,2013,02,26
11160,2013-02-27,473.44,2013,02,27
11161,2013-02-28,473.3,2013,02,28
11162,2013-03-01,472.96,2013,03,01
11163,2013-03-02,,2013,03,02
11164,2013-03-03,,2013,03,03
11165,2013-03-04,474.31,2013,03,04
11166,2013-03-05,474.82,2013,03,05
11167,2013-03-06,473.01,2013,03,06
11168,2013-03-07,472.7,2013,03,07
11169,2013-03-08,472.06,2013,03,08
11170,2013-03-09,,2013,03,09
11171,2013-03-10,,2013,03,10
11172,2013-03-11,471.9,2013,03,11
11173,2013-03-12,471.69,2013,03,12
11174,2013-03-13,471.16,2013,03,13
11175,2013-03-14,471.28,2013,03,14
11176,2013-03-15,471.1,2013,03,15
11177,2013-03-16,,2013,03,16
11178,2013-03-17,,2013,03,17
11179,2013-03-18,471.63,2013,03,18
11180,2013-03-19,472.38,2013,03,19
11181,2013-03-20,472.34,2013,03,20
11182,2013-03-21,472.79,2013,03,21
11183,2013-03-22,473.03,2013,03,22
11184,2013-03-23,,2013,03,23
11185,2013-03-24,,2013,03,24
11186,2013-03-25,472.77,2013,03,25
11187,2013-03-26,472.6,2013,03,26
11188,2013-03-27,472.61,2013,03,27
11189,2013-03-28,472.54,2013,03,28
11190,2013-03-29,,2013,03,29
11191,2013-03-30,,2013,03,30
11192,2013-03-31,,2013,03,31
11193,2013-04-01,472.03,2013,04,01
11194,2013-04-02,472.51,2013,04,02
11195,2013-04-03,472.55,2013,04,03
11196,2013-04-04,472.38,2013,04,04
11197,2013-04-05,470.83,2013,04,05
11198,2013-04-06,,2013,04,06
11199,2013-04-07,,2013,04,07
11200,2013-04-08,469.28,2013,04,08
11201,2013-04-09,467.38,2013,04,09
11202,2013-04-10,466.5,2013,04,10
11203,2013-04-11,468.54,2013,04,11
11204,2013-04-12,468.74,2013,04,12
11205,2013-04-13,,2013,04,13
11206,2013-04-14,,2013,04,14
11207,2013-04-15,469.24,2013,04,15
11208,2013-04-16,472.12,2013,04,16
11209,2013-04-17,472.07,2013,04,17
11210,2013-04-18,473.8,2013,04,18
11211,2013-04-19,475.93,2013,04,19
11212,2013-04-20,,2013,04,20
11213,2013-04-21,,2013,04,21
11214,2013-04-22,476.8,2013,04,22
11215,2013-04-23,477.74,2013,04,23
11216,2013-04-24,477.42,2013,04,24
11217,2013-04-25,474.84,2013,04,25
11218,2013-04-26,472.73,2013,04,26
11219,2013-04-27,,2013,04,27
11220,2013-04-28,,2013,04,28
11221,2013-04-29,472.05,2013,04,29
11222,2013-04-30,471.54,2013,04,30
11223,2013-05-01,,2013,05,01
11224,2013-05-02,471.31,2013,05,02
11225,2013-05-03,472.44,2013,05,03
11226,2013-05-04,,2013,05,04
11227,2013-05-05,,2013,05,05
11228,2013-05-06,469.73,2013,05,06
11229,2013-05-07,469.64,2013,05,07
11230,2013-05-08,470.07,2013,05,08
11231,2013-05-09,471.06,2013,05,09
11232,2013-05-10,472.03,2013,05,10
11233,2013-05-11,,2013,05,11
11234,2013-05-12,,2013,05,12
11235,2013-05-13,474.04,2013,05,13
11236,2013-05-14,475.68,2013,05,14
11237,2013-05-15,477.32,2013,05,15
11238,2013-05-16,478.71,2013,05,16
11239,2013-05-17,479.04,2013,05,17
11240,2013-05-18,,2013,05,18
11241,2013-05-19,,2013,05,19
11242,2013-05-20,480.81,2013,05,20
11243,2013-05-21,,2013,05,21
11244,2013-05-22,483.39,2013,05,22
11245,2013-05-23,484.51,2013,05,23
11246,2013-05-24,488.85,2013,05,24
11247,2013-05-25,,2013,05,25
11248,2013-05-26,,2013,05,26
11249,2013-05-27,488.86,2013,05,27
11250,2013-05-28,489.99,2013,05,28
11251,2013-05-29,490.31,2013,05,29
11252,2013-05-30,490.65,2013,05,30
11253,2013-05-31,492.8,2013,05,31
11254,2013-06-01,,2013,06,01
11255,2013-06-02,,2013,06,02
11256,2013-06-03,499.78,2013,06,03
11257,2013-06-04,501.99,2013,06,04
11258,2013-06-05,499.85,2013,06,05
11259,2013-06-06,502.48,2013,06,06
11260,2013-06-07,505.09,2013,06,07
11261,2013-06-08,,2013,06,08
11262,2013-06-09,,2013,06,09
11263,2013-06-10,501.52,2013,06,10
11264,2013-06-11,504.75,2013,06,11
11265,2013-06-12,503.59,2013,06,12
11266,2013-06-13,498.85,2013,06,13
11267,2013-06-14,496.71,2013,06,14
11268,2013-06-15,,2013,06,15
11269,2013-06-16,,2013,06,16
11270,2013-06-17,492.59,2013,06,17
11271,2013-06-18,492.9,2013,06,18
11272,2013-06-19,499.12,2013,06,19
11273,2013-06-20,500.68,2013,06,20
11274,2013-06-21,512.6,2013,06,21
11275,2013-06-22,,2013,06,22
11276,2013-06-23,,2013,06,23
11277,2013-06-24,514.38,2013,06,24
11278,2013-06-25,513.4,2013,06,25
11279,2013-06-26,508.56,2013,06,26
11280,2013-06-27,505.02,2013,06,27
11281,2013-06-28,503.86,2013,06,28
11282,2013-06-29,,2013,06,29
11283,2013-06-30,,2013,06,30
11284,2013-07-01,507.16,2013,07,01
11285,2013-07-02,504.99,2013,07,02
11286,2013-07-03,503.42,2013,07,03
11287,2013-07-04,503.21,2013,07,04
11288,2013-07-05,501.44,2013,07,05
11289,2013-07-06,,2013,07,06
11290,2013-07-07,,2013,07,07
11291,2013-07-08,506.96,2013,07,08
11292,2013-07-09,506.61,2013,07,09
11293,2013-07-10,507.65,2013,07,10
11294,2013-07-11,508.29,2013,07,11
11295,2013-07-12,505.73,2013,07,12
11296,2013-07-13,,2013,07,13
11297,2013-07-14,,2013,07,14
11298,2013-07-15,504.54,2013,07,15
11299,2013-07-16,,2013,07,16
11300,2013-07-17,501.59,2013,07,17
11301,2013-07-18,497.79,2013,07,18
11302,2013-07-19,499.52,2013,07,19
11303,2013-07-20,,2013,07,20
11304,2013-07-21,,2013,07,21
11305,2013-07-22,502.37,2013,07,22
11306,2013-07-23,503.05,2013,07,23
11307,2013-07-24,504.35,2013,07,24
11308,2013-07-25,504.34,2013,07,25
11309,2013-07-26,505.43,2013,07,26
11310,2013-07-27,,2013,07,27
11311,2013-07-28,,2013,07,28
11312,2013-07-29,506.5,2013,07,29
11313,2013-07-30,509.89,2013,07,30
11314,2013-07-31,514.34,2013,07,31
11315,2013-08-01,515.42,2013,08,01
11316,2013-08-02,514.42,2013,08,02
11317,2013-08-03,,2013,08,03
11318,2013-08-04,,2013,08,04
11319,2013-08-05,513.63,2013,08,05
11320,2013-08-06,512.33,2013,08,06
11321,2013-08-07,514.04,2013,08,07
11322,2013-08-08,515.84,2013,08,08
11323,2013-08-09,510.65,2013,08,09
11324,2013-08-10,,2013,08,10
11325,2013-08-11,,2013,08,11
11326,2013-08-12,507.05,2013,08,12
11327,2013-08-13,506.78,2013,08,13
11328,2013-08-14,510.53,2013,08,14
11329,2013-08-15,,2013,08,15
11330,2013-08-16,509.12,2013,08,16
11331,2013-08-17,,2013,08,17
11332,2013-08-18,,2013,08,18
11333,2013-08-19,510.35,2013,08,19
11334,2013-08-20,516.83,2013,08,20
11335,2013-08-21,516.38,2013,08,21
11336,2013-08-22,515.87,2013,08,22
11337,2013-08-23,513.65,2013,08,23
11338,2013-08-24,,2013,08,24
11339,2013-08-25,,2013,08,25
11340,2013-08-26,509.75,2013,08,26
11341,2013-08-27,511.28,2013,08,27
11342,2013-08-28,515.16,2013,08,28
11343,2013-08-29,513.63,2013,08,29
11344,2013-08-30,511.65,2013,08,30
11345,2013-08-31,,2013,08,31
11346,2013-09-01,,2013,09,01
11347,2013-09-02,509.74,2013,09,02
11348,2013-09-03,509.75,2013,09,03
