,Periodo,1.Dólar observado,year,mes,dia
4528,1995-01-01,,1995,01,01
4529,1995-01-02,402.92,1995,01,02
4530,1995-01-03,401.69,1995,01,03
4531,1995-01-04,403.81,1995,01,04
4532,1995-01-05,403.27,1995,01,05
4533,1995-01-06,404.4,1995,01,06
4534,1995-01-07,,1995,01,07
4535,1995-01-08,,1995,01,08
4536,1995-01-09,406.03,1995,01,09
4537,1995-01-10,405.0,1995,01,10
4538,1995-01-11,404.73,1995,01,11
4539,1995-01-12,407.48,1995,01,12
4540,1995-01-13,405.62,1995,01,13
4541,1995-01-14,,1995,01,14
4542,1995-01-15,,1995,01,15
4543,1995-01-16,404.5,1995,01,16
4544,1995-01-17,404.95,1995,01,17
4545,1995-01-18,405.06,1995,01,18
4546,1995-01-19,405.65,1995,01,19
4547,1995-01-20,406.15,1995,01,20
4548,1995-01-21,,1995,01,21
4549,1995-01-22,,1995,01,22
4550,1995-01-23,407.78,1995,01,23
4551,1995-01-24,408.91,1995,01,24
4552,1995-01-25,407.43,1995,01,25
4553,1995-01-26,406.65,1995,01,26
4554,1995-01-27,407.03,1995,01,27
4555,1995-01-28,,1995,01,28
4556,1995-01-29,,1995,01,29
4557,1995-01-30,408.19,1995,01,30
4558,1995-01-31,409.87,1995,01,31
4559,1995-02-01,410.79,1995,02,01
4560,1995-02-02,407.47,1995,02,02
4561,1995-02-03,409.06,1995,02,03
4562,1995-02-04,,1995,02,04
4563,1995-02-05,,1995,02,05
4564,1995-02-06,409.41,1995,02,06
4565,1995-02-07,410.19,1995,02,07
4566,1995-02-08,410.47,1995,02,08
4567,1995-02-09,409.48,1995,02,09
4568,1995-02-10,409.56,1995,02,10
4569,1995-02-11,,1995,02,11
4570,1995-02-12,,1995,02,12
4571,1995-02-13,411.5,1995,02,13
4572,1995-02-14,411.43,1995,02,14
4573,1995-02-15,412.24,1995,02,15
4574,1995-02-16,413.31,1995,02,16
4575,1995-02-17,416.77,1995,02,17
4576,1995-02-18,,1995,02,18
4577,1995-02-19,,1995,02,19
4578,1995-02-20,418.45,1995,02,20
4579,1995-02-21,418.98,1995,02,21
4580,1995-02-22,416.17,1995,02,22
4581,1995-02-23,414.08,1995,02,23
4582,1995-02-24,411.29,1995,02,24
4583,1995-02-25,,1995,02,25
4584,1995-02-26,,1995,02,26
4585,1995-02-27,411.41,1995,02,27
4586,1995-02-28,410.73,1995,02,28
4587,1995-03-01,410.49,1995,03,01
4588,1995-03-02,409.91,1995,03,02
4589,1995-03-03,411.94,1995,03,03
4590,1995-03-04,,1995,03,04
4591,1995-03-05,,1995,03,05
4592,1995-03-06,416.75,1995,03,06
4593,1995-03-07,414.35,1995,03,07
4594,1995-03-08,416.19,1995,03,08
4595,1995-03-09,415.84,1995,03,09
4596,1995-03-10,415.41,1995,03,10
4597,1995-03-11,,1995,03,11
4598,1995-03-12,,1995,03,12
4599,1995-03-13,411.89,1995,03,13
4600,1995-03-14,408.89,1995,03,14
4601,1995-03-15,407.85,1995,03,15
4602,1995-03-16,410.98,1995,03,16
4603,1995-03-17,410.78,1995,03,17
4604,1995-03-18,,1995,03,18
4605,1995-03-19,,1995,03,19
4606,1995-03-20,409.24,1995,03,20
4607,1995-03-21,409.11,1995,03,21
4608,1995-03-22,408.04,1995,03,22
4609,1995-03-23,407.65,1995,03,23
4610,1995-03-24,408.16,1995,03,24
4611,1995-03-25,,1995,03,25
4612,1995-03-26,,1995,03,26
4613,1995-03-27,409.17,1995,03,27
4614,1995-03-28,408.2,1995,03,28
4615,1995-03-29,407.76,1995,03,29
4616,1995-03-30,406.7,1995,03,30
4617,1995-03-31,405.22,1995,03,31
4618,1995-04-01,,1995,04,01
4619,1995-04-02,,1995,04,02
4620,1995-04-03,404.01,1995,04,03
4621,1995-04-04,400.97,1995,04,04
4622,1995-04-05,399.89,1995,04,05
4623,1995-04-06,397.11,1995,04,06
4624,1995-04-07,395.67,1995,04,07
4625,1995-04-08,,1995,04,08
4626,1995-04-09,,1995,04,09
4627,1995-04-10,394.26,1995,04,10
4628,1995-04-11,393.92,1995,04,11
4629,1995-04-12,395.67,1995,04,12
4630,1995-04-13,395.0,1995,04,13
4631,1995-04-14,,1995,04,14
4632,1995-04-15,,1995,04,15
4633,1995-04-16,,1995,04,16
4634,1995-04-17,394.72,1995,04,17
4635,1995-04-18,395.44,1995,04,18
4636,1995-04-19,395.13,1995,04,19
4637,1995-04-20,391.16,1995,04,20
4638,1995-04-21,391.1,1995,04,21
4639,1995-04-22,,1995,04,22
4640,1995-04-23,,1995,04,23
4641,1995-04-24,391.83,1995,04,24
4642,1995-04-25,390.3,1995,04,25
4643,1995-04-26,388.81,1995,04,26
4644,1995-04-27,389.05,1995,04,27
4645,1995-04-28,388.2,1995,04,28
