,Periodo,1.Dólar observado,year,mes,dia
9642,2009-01-01,,2009,01,01
9643,2009-01-02,636.45,2009,01,02
9644,2009-01-03,,2009,01,03
9645,2009-01-04,,2009,01,04
9646,2009-01-05,640.91,2009,01,05
9647,2009-01-06,643.87,2009,01,06
9648,2009-01-07,633.23,2009,01,07
9649,2009-01-08,630.19,2009,01,08
9650,2009-01-09,629.5,2009,01,09
9651,2009-01-10,,2009,01,10
9652,2009-01-11,,2009,01,11
9653,2009-01-12,616.95,2009,01,12
9654,2009-01-13,610.09,2009,01,13
9655,2009-01-14,614.85,2009,01,14
9656,2009-01-15,615.85,2009,01,15
9657,2009-01-16,625.63,2009,01,16
9658,2009-01-17,,2009,01,17
9659,2009-01-18,,2009,01,18
9660,2009-01-19,615.48,2009,01,19
9661,2009-01-20,620.78,2009,01,20
9662,2009-01-21,624.81,2009,01,21
9663,2009-01-22,623.64,2009,01,22
9664,2009-01-23,622.3,2009,01,23
9665,2009-01-24,,2009,01,24
9666,2009-01-25,,2009,01,25
9667,2009-01-26,621.17,2009,01,26
9668,2009-01-27,616.94,2009,01,27
9669,2009-01-28,616.2,2009,01,28
9670,2009-01-29,611.89,2009,01,29
9671,2009-01-30,612.43,2009,01,30
9672,2009-01-31,,2009,01,31
9673,2009-02-01,,2009,02,01
9674,2009-02-02,617.1,2009,02,02
9675,2009-02-03,621.78,2009,02,03
9676,2009-02-04,623.87,2009,02,04
9677,2009-02-05,617.2,2009,02,05
9678,2009-02-06,620.28,2009,02,06
9679,2009-02-07,,2009,02,07
9680,2009-02-08,,2009,02,08
9681,2009-02-09,615.82,2009,02,09
9682,2009-02-10,610.13,2009,02,10
9683,2009-02-11,605.7,2009,02,11
9684,2009-02-12,602.12,2009,02,12
9685,2009-02-13,593.02,2009,02,13
9686,2009-02-14,,2009,02,14
9687,2009-02-15,,2009,02,15
9688,2009-02-16,583.32,2009,02,16
9689,2009-02-17,584.35,2009,02,17
9690,2009-02-18,592.37,2009,02,18
9691,2009-02-19,592.45,2009,02,19
9692,2009-02-20,604.17,2009,02,20
9693,2009-02-21,,2009,02,21
9694,2009-02-22,,2009,02,22
9695,2009-02-23,619.44,2009,02,23
9696,2009-02-24,621.41,2009,02,24
9697,2009-02-25,598.98,2009,02,25
9698,2009-02-26,600.69,2009,02,26
9699,2009-02-27,595.76,2009,02,27
9700,2009-02-28,,2009,02,28
9701,2009-03-01,,2009,03,01
9702,2009-03-02,599.04,2009,03,02
9703,2009-03-03,603.73,2009,03,03
9704,2009-03-04,609.29,2009,03,04
9705,2009-03-05,614.85,2009,03,05
9706,2009-03-06,610.79,2009,03,06
9707,2009-03-07,,2009,03,07
9708,2009-03-08,,2009,03,08
9709,2009-03-09,605.4,2009,03,09
9710,2009-03-10,610.18,2009,03,10
9711,2009-03-11,604.88,2009,03,11
9712,2009-03-12,601.47,2009,03,12
9713,2009-03-13,598.09,2009,03,13
9714,2009-03-14,,2009,03,14
9715,2009-03-15,,2009,03,15
9716,2009-03-16,594.0,2009,03,16
9717,2009-03-17,585.95,2009,03,17
9718,2009-03-18,583.29,2009,03,18
9719,2009-03-19,591.72,2009,03,19
9720,2009-03-20,584.24,2009,03,20
9721,2009-03-21,,2009,03,21
9722,2009-03-22,,2009,03,22
9723,2009-03-23,587.14,2009,03,23
9724,2009-03-24,579.78,2009,03,24
9725,2009-03-25,576.44,2009,03,25
9726,2009-03-26,574.47,2009,03,26
9727,2009-03-27,575.25,2009,03,27
9728,2009-03-28,,2009,03,28
9729,2009-03-29,,2009,03,29
9730,2009-03-30,572.39,2009,03,30
9731,2009-03-31,582.1,2009,03,31
9732,2009-04-01,583.26,2009,04,01
9733,2009-04-02,582.08,2009,04,02
9734,2009-04-03,575.12,2009,04,03
9735,2009-04-04,,2009,04,04
9736,2009-04-05,,2009,04,05
9737,2009-04-06,580.35,2009,04,06
9738,2009-04-07,582.2,2009,04,07
9739,2009-04-08,582.81,2009,04,08
9740,2009-04-09,580.61,2009,04,09
9741,2009-04-10,,2009,04,10
9742,2009-04-11,,2009,04,11
9743,2009-04-12,,2009,04,12
9744,2009-04-13,577.31,2009,04,13
9745,2009-04-14,577.8,2009,04,14
9746,2009-04-15,577.73,2009,04,15
9747,2009-04-16,579.34,2009,04,16
9748,2009-04-17,577.12,2009,04,17
9749,2009-04-18,,2009,04,18
9750,2009-04-19,,2009,04,19
9751,2009-04-20,578.66,2009,04,20
9752,2009-04-21,583.96,2009,04,21
9753,2009-04-22,583.13,2009,04,22
9754,2009-04-23,583.67,2009,04,23
9755,2009-04-24,584.23,2009,04,24
9756,2009-04-25,,2009,04,25
9757,2009-04-26,,2009,04,26
9758,2009-04-27,587.54,2009,04,27
9759,2009-04-28,600.11,2009,04,28
9760,2009-04-29,601.04,2009,04,29
9761,2009-04-30,588.62,2009,04,30
9762,2009-05-01,,2009,05,01
9763,2009-05-02,,2009,05,02
9764,2009-05-03,,2009,05,03
9765,2009-05-04,580.1,2009,05,04
9766,2009-05-05,573.55,2009,05,05
9767,2009-05-06,568.85,2009,05,06
9768,2009-05-07,571.12,2009,05,07
9769,2009-05-08,564.44,2009,05,08
9770,2009-05-09,,2009,05,09
9771,2009-05-10,,2009,05,10
9772,2009-05-11,562.53,2009,05,11
9773,2009-05-12,568.45,2009,05,12
9774,2009-05-13,568.09,2009,05,13
9775,2009-05-14,570.84,2009,05,14
9776,2009-05-15,564.2,2009,05,15
9777,2009-05-16,,2009,05,16
9778,2009-05-17,,2009,05,17
9779,2009-05-18,560.34,2009,05,18
9780,2009-05-19,559.11,2009,05,19
9781,2009-05-20,559.56,2009,05,20
9782,2009-05-21,,2009,05,21
9783,2009-05-22,558.95,2009,05,22
9784,2009-05-23,,2009,05,23
9785,2009-05-24,,2009,05,24
9786,2009-05-25,561.55,2009,05,25
9787,2009-05-26,562.39,2009,05,26
9788,2009-05-27,564.33,2009,05,27
9789,2009-05-28,565.6,2009,05,28
9790,2009-05-29,564.64,2009,05,29
9791,2009-05-30,,2009,05,30
9792,2009-05-31,,2009,05,31
9793,2009-06-01,560.58,2009,06,01
9794,2009-06-02,560.62,2009,06,02
9795,2009-06-03,562.52,2009,06,03
9796,2009-06-04,565.67,2009,06,04
9797,2009-06-05,566.12,2009,06,05
9798,2009-06-06,,2009,06,06
9799,2009-06-07,,2009,06,07
9800,2009-06-08,565.77,2009,06,08
9801,2009-06-09,568.71,2009,06,09
9802,2009-06-10,566.25,2009,06,10
9803,2009-06-11,565.62,2009,06,11
9804,2009-06-12,564.24,2009,06,12
9805,2009-06-13,,2009,06,13
9806,2009-06-14,,2009,06,14
9807,2009-06-15,562.09,2009,06,15
9808,2009-06-16,565.21,2009,06,16
9809,2009-06-17,553.14,2009,06,17
9810,2009-06-18,549.99,2009,06,18
9811,2009-06-19,539.81,2009,06,19
9812,2009-06-20,,2009,06,20
9813,2009-06-21,,2009,06,21
9814,2009-06-22,536.43,2009,06,22
9815,2009-06-23,534.42,2009,06,23
9816,2009-06-24,533.8,2009,06,24
9817,2009-06-25,532.69,2009,06,25
9818,2009-06-26,531.93,2009,06,26
9819,2009-06-27,,2009,06,27
9820,2009-06-28,,2009,06,28
9821,2009-06-29,,2009,06,29
9822,2009-06-30,529.07,2009,06,30
9823,2009-07-01,531.76,2009,07,01
9824,2009-07-02,534.99,2009,07,02
9825,2009-07-03,543.59,2009,07,03
9826,2009-07-04,,2009,07,04
9827,2009-07-05,,2009,07,05
9828,2009-07-06,541.37,2009,07,06
9829,2009-07-07,540.35,2009,07,07
9830,2009-07-08,540.42,2009,07,08
9831,2009-07-09,546.05,2009,07,09
9832,2009-07-10,547.65,2009,07,10
9833,2009-07-11,,2009,07,11
9834,2009-07-12,,2009,07,12
9835,2009-07-13,551.7,2009,07,13
9836,2009-07-14,548.68,2009,07,14
9837,2009-07-15,548.35,2009,07,15
9838,2009-07-16,,2009,07,16
9839,2009-07-17,541.3,2009,07,17
9840,2009-07-18,,2009,07,18
9841,2009-07-19,,2009,07,19
9842,2009-07-20,532.17,2009,07,20
9843,2009-07-21,531.33,2009,07,21
9844,2009-07-22,532.59,2009,07,22
9845,2009-07-23,533.61,2009,07,23
9846,2009-07-24,534.12,2009,07,24
9847,2009-07-25,,2009,07,25
9848,2009-07-26,,2009,07,26
9849,2009-07-27,538.22,2009,07,27
9850,2009-07-28,540.85,2009,07,28
9851,2009-07-29,544.72,2009,07,29
9852,2009-07-30,543.53,2009,07,30
9853,2009-07-31,541.9,2009,07,31
9854,2009-08-01,,2009,08,01
9855,2009-08-02,,2009,08,02
9856,2009-08-03,541.3,2009,08,03
9857,2009-08-04,538.22,2009,08,04
9858,2009-08-05,539.4,2009,08,05
9859,2009-08-06,540.99,2009,08,06
9860,2009-08-07,541.71,2009,08,07
9861,2009-08-08,,2009,08,08
9862,2009-08-09,,2009,08,09
9863,2009-08-10,542.98,2009,08,10
9864,2009-08-11,546.37,2009,08,11
9865,2009-08-12,549.79,2009,08,12
9866,2009-08-13,546.53,2009,08,13
9867,2009-08-14,545.36,2009,08,14
9868,2009-08-15,,2009,08,15
9869,2009-08-16,,2009,08,16
9870,2009-08-17,552.21,2009,08,17
9871,2009-08-18,558.71,2009,08,18
9872,2009-08-19,556.31,2009,08,19
9873,2009-08-20,552.65,2009,08,20
9874,2009-08-21,548.06,2009,08,21
9875,2009-08-22,,2009,08,22
9876,2009-08-23,,2009,08,23
9877,2009-08-24,543.5,2009,08,24
9878,2009-08-25,546.53,2009,08,25
9879,2009-08-26,546.19,2009,08,26
9880,2009-08-27,548.57,2009,08,27
9881,2009-08-28,548.55,2009,08,28
9882,2009-08-29,,2009,08,29
9883,2009-08-30,,2009,08,30
9884,2009-08-31,550.64,2009,08,31
9885,2009-09-01,553.35,2009,09,01
9886,2009-09-02,555.29,2009,09,02
9887,2009-09-03,557.74,2009,09,03
9888,2009-09-04,555.87,2009,09,04
9889,2009-09-05,,2009,09,05
9890,2009-09-06,,2009,09,06
9891,2009-09-07,552.42,2009,09,07
9892,2009-09-08,550.96,2009,09,08
9893,2009-09-09,551.87,2009,09,09
9894,2009-09-10,551.64,2009,09,10
9895,2009-09-11,554.03,2009,09,11
9896,2009-09-12,,2009,09,12
9897,2009-09-13,,2009,09,13
9898,2009-09-14,550.57,2009,09,14
9899,2009-09-15,551.88,2009,09,15
9900,2009-09-16,551.37,2009,09,16
9901,2009-09-17,545.72,2009,09,17
9902,2009-09-18,,2009,09,18
9903,2009-09-19,,2009,09,19
9904,2009-09-20,,2009,09,20
9905,2009-09-21,545.96,2009,09,21
9906,2009-09-22,544.5,2009,09,22
9907,2009-09-23,540.48,2009,09,23
9908,2009-09-24,539.71,2009,09,24
9909,2009-09-25,540.96,2009,09,25
9910,2009-09-26,,2009,09,26
9911,2009-09-27,,2009,09,27
9912,2009-09-28,544.66,2009,09,28
9913,2009-09-29,545.44,2009,09,29
9914,2009-09-30,546.07,2009,09,30
9915,2009-10-01,550.36,2009,10,01
9916,2009-10-02,553.3,2009,10,02
9917,2009-10-03,,2009,10,03
9918,2009-10-04,,2009,10,04
9919,2009-10-05,557.41,2009,10,05
9920,2009-10-06,556.11,2009,10,06
9921,2009-10-07,554.02,2009,10,07
9922,2009-10-08,553.57,2009,10,08
9923,2009-10-09,550.55,2009,10,09
9924,2009-10-10,,2009,10,10
9925,2009-10-11,,2009,10,11
9926,2009-10-12,,2009,10,12
