,Periodo,1.Dólar observado,year,mes,dia
8546,2006-01-01,,2006,01,01
8547,2006-01-02,512.5,2006,01,02
8548,2006-01-03,513.18,2006,01,03
8549,2006-01-04,518.04,2006,01,04
8550,2006-01-05,515.45,2006,01,05
8551,2006-01-06,516.4,2006,01,06
8552,2006-01-07,,2006,01,07
8553,2006-01-08,,2006,01,08
8554,2006-01-09,522.0,2006,01,09
8555,2006-01-10,521.82,2006,01,10
8556,2006-01-11,524.06,2006,01,11
8557,2006-01-12,523.5,2006,01,12
8558,2006-01-13,523.41,2006,01,13
8559,2006-01-14,,2006,01,14
8560,2006-01-15,,2006,01,15
8561,2006-01-16,525.62,2006,01,16
8562,2006-01-17,526.1,2006,01,17
8563,2006-01-18,529.77,2006,01,18
8564,2006-01-19,535.36,2006,01,19
8565,2006-01-20,534.49,2006,01,20
8566,2006-01-21,,2006,01,21
8567,2006-01-22,,2006,01,22
8568,2006-01-23,531.49,2006,01,23
8569,2006-01-24,530.61,2006,01,24
8570,2006-01-25,528.04,2006,01,25
8571,2006-01-26,525.67,2006,01,26
8572,2006-01-27,529.18,2006,01,27
8573,2006-01-28,,2006,01,28
8574,2006-01-29,,2006,01,29
8575,2006-01-30,527.02,2006,01,30
8576,2006-01-31,524.78,2006,01,31
8577,2006-02-01,524.37,2006,02,01
8578,2006-02-02,528.42,2006,02,02
8579,2006-02-03,529.29,2006,02,03
8580,2006-02-04,,2006,02,04
8581,2006-02-05,,2006,02,05
8582,2006-02-06,529.98,2006,02,06
8583,2006-02-07,526.1,2006,02,07
8584,2006-02-08,526.51,2006,02,08
8585,2006-02-09,530.97,2006,02,09
8586,2006-02-10,528.81,2006,02,10
8587,2006-02-11,,2006,02,11
8588,2006-02-12,,2006,02,12
8589,2006-02-13,527.34,2006,02,13
8590,2006-02-14,531.88,2006,02,14
8591,2006-02-15,532.35,2006,02,15
8592,2006-02-16,530.95,2006,02,16
8593,2006-02-17,528.72,2006,02,17
8594,2006-02-18,,2006,02,18
8595,2006-02-19,,2006,02,19
8596,2006-02-20,522.68,2006,02,20
8597,2006-02-21,524.14,2006,02,21
8598,2006-02-22,518.91,2006,02,22
8599,2006-02-23,520.37,2006,02,23
8600,2006-02-24,516.91,2006,02,24
8601,2006-02-25,,2006,02,25
8602,2006-02-26,,2006,02,26
8603,2006-02-27,517.63,2006,02,27
8604,2006-02-28,517.76,2006,02,28
8605,2006-03-01,517.33,2006,03,01
8606,2006-03-02,516.75,2006,03,02
8607,2006-03-03,518.29,2006,03,03
8608,2006-03-04,,2006,03,04
8609,2006-03-05,,2006,03,05
8610,2006-03-06,522.28,2006,03,06
8611,2006-03-07,525.23,2006,03,07
8612,2006-03-08,529.31,2006,03,08
8613,2006-03-09,533.88,2006,03,09
8614,2006-03-10,530.55,2006,03,10
8615,2006-03-11,,2006,03,11
8616,2006-03-12,,2006,03,12
8617,2006-03-13,531.29,2006,03,13
8618,2006-03-14,532.08,2006,03,14
8619,2006-03-15,530.6,2006,03,15
8620,2006-03-16,527.18,2006,03,16
8621,2006-03-17,526.57,2006,03,17
8622,2006-03-18,,2006,03,18
8623,2006-03-19,,2006,03,19
8624,2006-03-20,526.7,2006,03,20
8625,2006-03-21,529.78,2006,03,21
8626,2006-03-22,533.51,2006,03,22
8627,2006-03-23,532.05,2006,03,23
8628,2006-03-24,531.15,2006,03,24
8629,2006-03-25,,2006,03,25
8630,2006-03-26,,2006,03,26
8631,2006-03-27,533.53,2006,03,27
8632,2006-03-28,535.0,2006,03,28
8633,2006-03-29,536.16,2006,03,29
8634,2006-03-30,534.81,2006,03,30
8635,2006-03-31,527.7,2006,03,31
8636,2006-04-01,,2006,04,01
8637,2006-04-02,,2006,04,02
8638,2006-04-03,526.18,2006,04,03
8639,2006-04-04,525.4,2006,04,04
8640,2006-04-05,521.03,2006,04,05
8641,2006-04-06,520.72,2006,04,06
8642,2006-04-07,519.17,2006,04,07
8643,2006-04-08,,2006,04,08
8644,2006-04-09,,2006,04,09
8645,2006-04-10,518.77,2006,04,10
8646,2006-04-11,517.83,2006,04,11
8647,2006-04-12,516.08,2006,04,12
8648,2006-04-13,512.44,2006,04,13
8649,2006-04-14,,2006,04,14
8650,2006-04-15,,2006,04,15
8651,2006-04-16,,2006,04,16
8652,2006-04-17,514.83,2006,04,17
8653,2006-04-18,511.53,2006,04,18
8654,2006-04-19,511.44,2006,04,19
8655,2006-04-20,513.54,2006,04,20
8656,2006-04-21,517.35,2006,04,21
8657,2006-04-22,,2006,04,22
8658,2006-04-23,,2006,04,23
8659,2006-04-24,516.34,2006,04,24
8660,2006-04-25,514.91,2006,04,25
8661,2006-04-26,515.35,2006,04,26
8662,2006-04-27,517.67,2006,04,27
8663,2006-04-28,518.62,2006,04,28
8664,2006-04-29,,2006,04,29
8665,2006-04-30,,2006,04,30
8666,2006-05-01,,2006,05,01
8667,2006-05-02,514.97,2006,05,02
8668,2006-05-03,515.87,2006,05,03
8669,2006-05-04,517.04,2006,05,04
8670,2006-05-05,514.46,2006,05,05
8671,2006-05-06,,2006,05,06
8672,2006-05-07,,2006,05,07
8673,2006-05-08,513.38,2006,05,08
8674,2006-05-09,513.5,2006,05,09
8675,2006-05-10,515.61,2006,05,10
8676,2006-05-11,512.76,2006,05,11
8677,2006-05-12,513.5,2006,05,12
8678,2006-05-13,,2006,05,13
8679,2006-05-14,,2006,05,14
8680,2006-05-15,516.35,2006,05,15
8681,2006-05-16,521.72,2006,05,16
8682,2006-05-17,518.77,2006,05,17
8683,2006-05-18,521.3,2006,05,18
8684,2006-05-19,522.72,2006,05,19
8685,2006-05-20,,2006,05,20
8686,2006-05-21,,2006,05,21
8687,2006-05-22,523.81,2006,05,22
8688,2006-05-23,529.41,2006,05,23
8689,2006-05-24,528.33,2006,05,24
8690,2006-05-25,532.92,2006,05,25
8691,2006-05-26,528.64,2006,05,26
8692,2006-05-27,,2006,05,27
8693,2006-05-28,,2006,05,28
8694,2006-05-29,525.52,2006,05,29
8695,2006-05-30,525.78,2006,05,30
8696,2006-05-31,531.11,2006,05,31
8697,2006-06-01,531.87,2006,06,01
8698,2006-06-02,532.0,2006,06,02
8699,2006-06-03,,2006,06,03
8700,2006-06-04,,2006,06,04
8701,2006-06-05,529.91,2006,06,05
8702,2006-06-06,533.59,2006,06,06
8703,2006-06-07,536.59,2006,06,07
8704,2006-06-08,541.68,2006,06,08
8705,2006-06-09,545.45,2006,06,09
8706,2006-06-10,,2006,06,10
8707,2006-06-11,,2006,06,11
8708,2006-06-12,,2006,06,12
8709,2006-06-13,541.03,2006,06,13
8710,2006-06-14,546.74,2006,06,14
8711,2006-06-15,544.51,2006,06,15
8712,2006-06-16,542.1,2006,06,16
8713,2006-06-17,,2006,06,17
8714,2006-06-18,,2006,06,18
8715,2006-06-19,543.03,2006,06,19
8716,2006-06-20,546.51,2006,06,20
8717,2006-06-21,547.83,2006,06,21
8718,2006-06-22,545.64,2006,06,22
8719,2006-06-23,546.57,2006,06,23
8720,2006-06-24,,2006,06,24
8721,2006-06-25,,2006,06,25
8722,2006-06-26,,2006,06,26
8723,2006-06-27,549.63,2006,06,27
8724,2006-06-28,548.05,2006,06,28
8725,2006-06-29,549.16,2006,06,29
8726,2006-06-30,547.31,2006,06,30
8727,2006-07-01,,2006,07,01
8728,2006-07-02,,2006,07,02
8729,2006-07-03,539.44,2006,07,03
8730,2006-07-04,537.56,2006,07,04
8731,2006-07-05,537.67,2006,07,05
8732,2006-07-06,540.54,2006,07,06
8733,2006-07-07,538.91,2006,07,07
8734,2006-07-08,,2006,07,08
8735,2006-07-09,,2006,07,09
8736,2006-07-10,538.58,2006,07,10
8737,2006-07-11,538.27,2006,07,11
8738,2006-07-12,540.29,2006,07,12
8739,2006-07-13,539.38,2006,07,13
8740,2006-07-14,541.46,2006,07,14
8741,2006-07-15,,2006,07,15
8742,2006-07-16,,2006,07,16
8743,2006-07-17,544.45,2006,07,17
8744,2006-07-18,545.93,2006,07,18
8745,2006-07-19,544.31,2006,07,19
8746,2006-07-20,542.35,2006,07,20
8747,2006-07-21,539.52,2006,07,21
8748,2006-07-22,,2006,07,22
8749,2006-07-23,,2006,07,23
