,Periodo,1.Dólar observado,year,mes,dia
13294,2019-01-01,,2019,01,01
13295,2019-01-02,694.77,2019,01,02
13296,2019-01-03,697.09,2019,01,03
13297,2019-01-04,697.64,2019,01,04
13298,2019-01-05,,2019,01,05
13299,2019-01-06,,2019,01,06
13300,2019-01-07,688.42,2019,01,07
13301,2019-01-08,679.69,2019,01,08
13302,2019-01-09,680.1,2019,01,09
13303,2019-01-10,678.09,2019,01,10
13304,2019-01-11,677.58,2019,01,11
13305,2019-01-12,,2019,01,12
13306,2019-01-13,,2019,01,13
13307,2019-01-14,675.15,2019,01,14
13308,2019-01-15,674.95,2019,01,15
13309,2019-01-16,673.76,2019,01,16
13310,2019-01-17,672.73,2019,01,17
13311,2019-01-18,671.37,2019,01,18
13312,2019-01-19,,2019,01,19
13313,2019-01-20,,2019,01,20
13314,2019-01-21,670.1,2019,01,21
13315,2019-01-22,672.42,2019,01,22
13316,2019-01-23,672.26,2019,01,23
13317,2019-01-24,672.41,2019,01,24
13318,2019-01-25,672.14,2019,01,25
13319,2019-01-26,,2019,01,26
13320,2019-01-27,,2019,01,27
13321,2019-01-28,667.04,2019,01,28
13322,2019-01-29,671.29,2019,01,29
13323,2019-01-30,669.6,2019,01,30
13324,2019-01-31,666.76,2019,01,31
13325,2019-02-01,657.81,2019,02,01
13326,2019-02-02,,2019,02,02
13327,2019-02-03,,2019,02,03
13328,2019-02-04,655.39,2019,02,04
13329,2019-02-05,653.8,2019,02,05
13330,2019-02-06,652.78,2019,02,06
13331,2019-02-07,653.9,2019,02,07
13332,2019-02-08,654.44,2019,02,08
13333,2019-02-09,,2019,02,09
13334,2019-02-10,,2019,02,10
13335,2019-02-11,656.46,2019,02,11
13336,2019-02-12,660.82,2019,02,12
13337,2019-02-13,660.49,2019,02,13
13338,2019-02-14,661.6,2019,02,14
13339,2019-02-15,665.9,2019,02,15
13340,2019-02-16,,2019,02,16
13341,2019-02-17,,2019,02,17
13342,2019-02-18,663.98,2019,02,18
13343,2019-02-19,660.82,2019,02,19
13344,2019-02-20,658.75,2019,02,20
13345,2019-02-21,654.52,2019,02,21
13346,2019-02-22,654.33,2019,02,22
13347,2019-02-23,,2019,02,23
13348,2019-02-24,,2019,02,24
13349,2019-02-25,651.36,2019,02,25
13350,2019-02-26,649.22,2019,02,26
13351,2019-02-27,649.8,2019,02,27
13352,2019-02-28,649.92,2019,02,28
13353,2019-03-01,651.79,2019,03,01
13354,2019-03-02,,2019,03,02
13355,2019-03-03,,2019,03,03
13356,2019-03-04,656.57,2019,03,04
13357,2019-03-05,659.07,2019,03,05
13358,2019-03-06,657.49,2019,03,06
13359,2019-03-07,658.4,2019,03,07
13360,2019-03-08,662.19,2019,03,08
13361,2019-03-09,,2019,03,09
13362,2019-03-10,,2019,03,10
13363,2019-03-11,670.83,2019,03,11
13364,2019-03-12,669.37,2019,03,12
13365,2019-03-13,667.09,2019,03,13
13366,2019-03-14,665.68,2019,03,14
13367,2019-03-15,670.62,2019,03,15
13368,2019-03-16,,2019,03,16
13369,2019-03-17,,2019,03,17
13370,2019-03-18,669.39,2019,03,18
13371,2019-03-19,667.21,2019,03,19
13372,2019-03-20,664.78,2019,03,20
13373,2019-03-21,666.13,2019,03,21
13374,2019-03-22,665.12,2019,03,22
13375,2019-03-23,,2019,03,23
13376,2019-03-24,,2019,03,24
13377,2019-03-25,676.6,2019,03,25
13378,2019-03-26,679.08,2019,03,26
13379,2019-03-27,679.02,2019,03,27
13380,2019-03-28,683.73,2019,03,28
13381,2019-03-29,681.09,2019,03,29
13382,2019-03-30,,2019,03,30
13383,2019-03-31,,2019,03,31
13384,2019-04-01,678.53,2019,04,01
13385,2019-04-02,672.56,2019,04,02
13386,2019-04-03,670.05,2019,04,03
13387,2019-04-04,667.55,2019,04,04
13388,2019-04-05,666.32,2019,04,05
13389,2019-04-06,,2019,04,06
13390,2019-04-07,,2019,04,07
13391,2019-04-08,664.17,2019,04,08
13392,2019-04-09,663.01,2019,04,09
13393,2019-04-10,663.15,2019,04,10
13394,2019-04-11,662.92,2019,04,11
13395,2019-04-12,664.19,2019,04,12
13396,2019-04-13,,2019,04,13
13397,2019-04-14,,2019,04,14
13398,2019-04-15,660.67,2019,04,15
13399,2019-04-16,662.86,2019,04,16
13400,2019-04-17,663.98,2019,04,17
13401,2019-04-18,660.48,2019,04,18
13402,2019-04-19,,2019,04,19
13403,2019-04-20,,2019,04,20
