,Periodo,1.Dólar observado,year,mes,dia
1606,1987-01-01,,1987,01,01
1607,1987-01-02,204.73,1987,01,02
1608,1987-01-03,,1987,01,03
1609,1987-01-04,,1987,01,04
1610,1987-01-05,204.7,1987,01,05
1611,1987-01-06,204.43,1987,01,06
1612,1987-01-07,204.49,1987,01,07
1613,1987-01-08,204.27,1987,01,08
1614,1987-01-09,203.71,1987,01,09
1615,1987-01-10,,1987,01,10
1616,1987-01-11,,1987,01,11
1617,1987-01-12,203.73,1987,01,12
1618,1987-01-13,203.12,1987,01,13
1619,1987-01-14,203.46,1987,01,14
1620,1987-01-15,202.75,1987,01,15
1621,1987-01-16,202.55,1987,01,16
1622,1987-01-17,,1987,01,17
1623,1987-01-18,,1987,01,18
1624,1987-01-19,202.99,1987,01,19
1625,1987-01-20,203.52,1987,01,20
1626,1987-01-21,204.62,1987,01,21
1627,1987-01-22,204.87,1987,01,22
1628,1987-01-23,205.46,1987,01,23
1629,1987-01-24,,1987,01,24
1630,1987-01-25,,1987,01,25
1631,1987-01-26,205.9,1987,01,26
1632,1987-01-27,206.27,1987,01,27
1633,1987-01-28,206.75,1987,01,28
1634,1987-01-29,206.83,1987,01,29
1635,1987-01-30,206.29,1987,01,30
1636,1987-01-31,,1987,01,31
1637,1987-02-01,,1987,02,01
1638,1987-02-02,205.18,1987,02,02
1639,1987-02-03,205.89,1987,02,03
1640,1987-02-04,206.49,1987,02,04
1641,1987-02-05,206.61,1987,02,05
1642,1987-02-06,206.59,1987,02,06
1643,1987-02-07,,1987,02,07
1644,1987-02-08,,1987,02,08
1645,1987-02-09,206.56,1987,02,09
1646,1987-02-10,205.82,1987,02,10
1647,1987-02-11,204.82,1987,02,11
1648,1987-02-12,205.27,1987,02,12
1649,1987-02-13,205.69,1987,02,13
1650,1987-02-14,,1987,02,14
1651,1987-02-15,,1987,02,15
1652,1987-02-16,206.08,1987,02,16
1653,1987-02-17,206.29,1987,02,17
1654,1987-02-18,206.15,1987,02,18
1655,1987-02-19,206.34,1987,02,19
1656,1987-02-20,206.28,1987,02,20
1657,1987-02-21,,1987,02,21
1658,1987-02-22,,1987,02,22
1659,1987-02-23,206.26,1987,02,23
1660,1987-02-24,206.45,1987,02,24
1661,1987-02-25,206.15,1987,02,25
1662,1987-02-26,205.84,1987,02,26
1663,1987-02-27,205.39,1987,02,27
1664,1987-02-28,,1987,02,28
1665,1987-03-01,,1987,03,01
1666,1987-03-02,205.39,1987,03,02
1667,1987-03-03,205.76,1987,03,03
1668,1987-03-04,206.23,1987,03,04
1669,1987-03-05,206.25,1987,03,05
1670,1987-03-06,206.13,1987,03,06
1671,1987-03-07,,1987,03,07
1672,1987-03-08,,1987,03,08
1673,1987-03-09,205.83,1987,03,09
1674,1987-03-10,205.84,1987,03,10
1675,1987-03-11,205.92,1987,03,11
1676,1987-03-12,205.54,1987,03,12
1677,1987-03-13,205.62,1987,03,13
1678,1987-03-14,,1987,03,14
1679,1987-03-15,,1987,03,15
1680,1987-03-16,205.76,1987,03,16
1681,1987-03-17,205.89,1987,03,17
1682,1987-03-18,206.35,1987,03,18
1683,1987-03-19,207.44,1987,03,19
1684,1987-03-20,208.97,1987,03,20
1685,1987-03-21,,1987,03,21
1686,1987-03-22,,1987,03,22
1687,1987-03-23,209.49,1987,03,23
1688,1987-03-24,210.55,1987,03,24
1689,1987-03-25,210.83,1987,03,25
1690,1987-03-26,211.19,1987,03,26
1691,1987-03-27,211.81,1987,03,27
1692,1987-03-28,,1987,03,28
1693,1987-03-29,,1987,03,29
1694,1987-03-30,212.63,1987,03,30
1695,1987-03-31,212.54,1987,03,31
1696,1987-04-01,210.84,1987,04,01
1697,1987-04-02,210.57,1987,04,02
1698,1987-04-03,,1987,04,03
1699,1987-04-04,,1987,04,04
1700,1987-04-05,,1987,04,05
1701,1987-04-06,210.93,1987,04,06
1702,1987-04-07,211.16,1987,04,07
1703,1987-04-08,210.92,1987,04,08
1704,1987-04-09,210.85,1987,04,09
1705,1987-04-10,210.58,1987,04,10
1706,1987-04-11,,1987,04,11
1707,1987-04-12,,1987,04,12
1708,1987-04-13,210.39,1987,04,13
1709,1987-04-14,211.05,1987,04,14
1710,1987-04-15,211.66,1987,04,15
1711,1987-04-16,211.54,1987,04,16
1712,1987-04-17,,1987,04,17
1713,1987-04-18,,1987,04,18
1714,1987-04-19,,1987,04,19
1715,1987-04-20,211.66,1987,04,20
1716,1987-04-21,211.67,1987,04,21
1717,1987-04-22,211.68,1987,04,22
1718,1987-04-23,211.75,1987,04,23
1719,1987-04-24,212.37,1987,04,24
1720,1987-04-25,,1987,04,25
1721,1987-04-26,,1987,04,26
1722,1987-04-27,212.64,1987,04,27
1723,1987-04-28,212.68,1987,04,28
1724,1987-04-29,212.63,1987,04,29
1725,1987-04-30,212.28,1987,04,30
1726,1987-05-01,,1987,05,01
1727,1987-05-02,,1987,05,02
1728,1987-05-03,,1987,05,03
1729,1987-05-04,212.44,1987,05,04
1730,1987-05-05,212.54,1987,05,05
1731,1987-05-06,212.06,1987,05,06
1732,1987-05-07,211.0,1987,05,07
1733,1987-05-08,210.78,1987,05,08
1734,1987-05-09,,1987,05,09
1735,1987-05-10,,1987,05,10
1736,1987-05-11,211.24,1987,05,11
