,Periodo,1.Dólar observado,year,mes,dia
7815,2004-01-01,,2004,01,01
7816,2004-01-02,593.8,2004,01,02
7817,2004-01-03,,2004,01,03
7818,2004-01-04,,2004,01,04
7819,2004-01-05,587.69,2004,01,05
7820,2004-01-06,579.43,2004,01,06
7821,2004-01-07,565.18,2004,01,07
7822,2004-01-08,567.83,2004,01,08
7823,2004-01-09,568.61,2004,01,09
7824,2004-01-10,,2004,01,10
7825,2004-01-11,,2004,01,11
7826,2004-01-12,560.51,2004,01,12
7827,2004-01-13,559.21,2004,01,13
7828,2004-01-14,563.65,2004,01,14
7829,2004-01-15,572.08,2004,01,15
7830,2004-01-16,569.56,2004,01,16
7831,2004-01-17,,2004,01,17
7832,2004-01-18,,2004,01,18
7833,2004-01-19,577.4,2004,01,19
7834,2004-01-20,572.69,2004,01,20
7835,2004-01-21,567.13,2004,01,21
7836,2004-01-22,564.83,2004,01,22
7837,2004-01-23,565.76,2004,01,23
7838,2004-01-24,,2004,01,24
7839,2004-01-25,,2004,01,25
7840,2004-01-26,573.19,2004,01,26
7841,2004-01-27,578.61,2004,01,27
7842,2004-01-28,577.5,2004,01,28
7843,2004-01-29,585.03,2004,01,29
7844,2004-01-30,596.78,2004,01,30
7845,2004-01-31,,2004,01,31
7846,2004-02-01,,2004,02,01
7847,2004-02-02,591.42,2004,02,02
7848,2004-02-03,577.27,2004,02,03
7849,2004-02-04,581.18,2004,02,04
7850,2004-02-05,587.3,2004,02,05
7851,2004-02-06,595.34,2004,02,06
7852,2004-02-07,,2004,02,07
7853,2004-02-08,,2004,02,08
7854,2004-02-09,598.6,2004,02,09
7855,2004-02-10,586.96,2004,02,10
7856,2004-02-11,583.23,2004,02,11
7857,2004-02-12,582.45,2004,02,12
7858,2004-02-13,577.01,2004,02,13
7859,2004-02-14,,2004,02,14
7860,2004-02-15,,2004,02,15
7861,2004-02-16,576.4,2004,02,16
7862,2004-02-17,579.8,2004,02,17
7863,2004-02-18,572.55,2004,02,18
7864,2004-02-19,571.35,2004,02,19
7865,2004-02-20,581.24,2004,02,20
7866,2004-02-21,,2004,02,21
7867,2004-02-22,,2004,02,22
7868,2004-02-23,585.28,2004,02,23
7869,2004-02-24,586.65,2004,02,24
7870,2004-02-25,589.75,2004,02,25
7871,2004-02-26,588.02,2004,02,26
