,Periodo,1.Dólar observado,year,mes,dia
13659,2020-01-01,,2020,01,01
13660,2020-01-02,748.74,2020,01,02
13661,2020-01-03,754.16,2020,01,03
13662,2020-01-04,,2020,01,04
13663,2020-01-05,,2020,01,05
13664,2020-01-06,758.49,2020,01,06
13665,2020-01-07,771.82,2020,01,07
13666,2020-01-08,773.12,2020,01,08
13667,2020-01-09,766.83,2020,01,09
13668,2020-01-10,764.69,2020,01,10
13669,2020-01-11,,2020,01,11
13670,2020-01-12,,2020,01,12
13671,2020-01-13,770.56,2020,01,13
13672,2020-01-14,777.66,2020,01,14
13673,2020-01-15,772.29,2020,01,15
13674,2020-01-16,772.01,2020,01,16
13675,2020-01-17,773.36,2020,01,17
13676,2020-01-18,,2020,01,18
13677,2020-01-19,,2020,01,19
13678,2020-01-20,771.38,2020,01,20
13679,2020-01-21,769.93,2020,01,21
13680,2020-01-22,770.5,2020,01,22
13681,2020-01-23,772.12,2020,01,23
13682,2020-01-24,771.94,2020,01,24
13683,2020-01-25,,2020,01,25
13684,2020-01-26,,2020,01,26
13685,2020-01-27,776.52,2020,01,27
13686,2020-01-28,787.86,2020,01,28
13687,2020-01-29,788.13,2020,01,29
13688,2020-01-30,788.18,2020,01,30
13689,2020-01-31,797.96,2020,01,31
13690,2020-02-01,,2020,02,01
13691,2020-02-02,,2020,02,02
13692,2020-02-03,799.11,2020,02,03
13693,2020-02-04,790.92,2020,02,04
13694,2020-02-05,781.78,2020,02,05
13695,2020-02-06,776.99,2020,02,06
13696,2020-02-07,779.12,2020,02,07
13697,2020-02-08,,2020,02,08
13698,2020-02-09,,2020,02,09
13699,2020-02-10,788.8,2020,02,10
13700,2020-02-11,795.88,2020,02,11
13701,2020-02-12,792.48,2020,02,12
13702,2020-02-13,788.33,2020,02,13
13703,2020-02-14,795.12,2020,02,14
13704,2020-02-15,,2020,02,15
13705,2020-02-16,,2020,02,16
13706,2020-02-17,792.73,2020,02,17
13707,2020-02-18,791.95,2020,02,18
13708,2020-02-19,796.9,2020,02,19
13709,2020-02-20,797.4,2020,02,20
13710,2020-02-21,804.74,2020,02,21
13711,2020-02-22,,2020,02,22
13712,2020-02-23,,2020,02,23
13713,2020-02-24,809.82,2020,02,24
13714,2020-02-25,810.2,2020,02,25
13715,2020-02-26,807.96,2020,02,26
13716,2020-02-27,811.1,2020,02,27
13717,2020-02-28,816.26,2020,02,28
13718,2020-02-29,,2020,02,29
13719,2020-03-01,,2020,03,01
13720,2020-03-02,818.32,2020,03,02
13721,2020-03-03,817.45,2020,03,03
13722,2020-03-04,809.81,2020,03,04
13723,2020-03-05,812.19,2020,03,05
13724,2020-03-06,823.28,2020,03,06
13725,2020-03-07,,2020,03,07
13726,2020-03-08,,2020,03,08
13727,2020-03-09,828.95,2020,03,09
13728,2020-03-10,841.06,2020,03,10
13729,2020-03-11,834.22,2020,03,11
13730,2020-03-12,835.48,2020,03,12
13731,2020-03-13,852.06,2020,03,13
13732,2020-03-14,,2020,03,14
13733,2020-03-15,,2020,03,15
13734,2020-03-16,836.66,2020,03,16
13735,2020-03-17,850.51,2020,03,17
13736,2020-03-18,855.09,2020,03,18
13737,2020-03-19,862.69,2020,03,19
13738,2020-03-20,867.83,2020,03,20
13739,2020-03-21,,2020,03,21
